,Presse Nationale
immigration,1.1507479861910241
economie,5.983889528193326
securite,6.789413118527042
gouvernement,22.209436133486765
vaccin,22.78481012658228
candidats,16.570771001150746
delinquance,2.8768699654775602
environnement_cat_nat,1.611047180667434
environnement,3.33716915995397
europe,7.3647871116225545
pouvoir_dachat,13.003452243958574
education,5.7537399309551205
violence_aux_femmes,1.2658227848101267
emploi,7.249712313003452
retraite,0.9205983889528193
industrie,1.4959723820483315
mobilite_transport,2.4165707710011506
