,Presse Nationale
immigration,1.5204678362573099
economie,9.5906432748538
securite,5.730994152046784
gouvernement,19.415204678362574
vaccin,19.06432748538012
candidats,18.47953216374269
delinquance,2.456140350877193
environnement_cat_nat,2.923976608187134
environnement,3.1578947368421053
europe,5.263157894736842
pouvoir_dachat,15.789473684210526
education,3.976608187134503
violence_aux_femmes,0.3508771929824561
emploi,6.666666666666667
retraite,0.46783625730994155
industrie,1.9883040935672516
mobilite_transport,2.2222222222222223
