,immigration,economie,securite,gouvernement,candidats,delinquance,environnement_cat_nat,environnement,europe,pouvoir_dachat,education,violence_aux_femmes,emploi,retraite,industrie,mobilite_transport
Normandie,0.0,2.857142857142857,8.571428571428571,17.142857142857142,2.857142857142857,5.714285714285714,2.857142857142857,2.857142857142857,2.857142857142857,12.857142857142856,10.0,1.4285714285714286,14.285714285714285,1.4285714285714286,1.4285714285714286,12.857142857142856
Nord,1.5384615384615385,7.076923076923077,8.923076923076923,21.53846153846154,5.230769230769231,7.384615384615385,1.8461538461538463,3.3846153846153846,2.769230769230769,8.0,8.615384615384615,0.9230769230769231,7.076923076923077,0.6153846153846154,3.6923076923076925,11.384615384615385
Grand Est,0.6382978723404255,6.595744680851063,7.446808510638298,27.02127659574468,3.829787234042553,5.531914893617021,3.6170212765957444,4.680851063829787,5.319148936170213,6.808510638297872,8.085106382978724,0.425531914893617,8.72340425531915,1.9148936170212765,3.404255319148936,5.957446808510639
Bourgogne,0.8645533141210375,8.93371757925072,7.780979827089338,24.495677233429394,9.798270893371757,6.051873198847262,1.1527377521613833,3.170028818443804,4.322766570605188,6.9164265129683,5.475504322766571,0.2881844380403458,7.492795389048991,0.2881844380403458,4.610951008645533,8.357348703170029
Auvergne,1.6666666666666667,8.333333333333332,4.166666666666666,22.5,13.333333333333334,1.6666666666666667,2.5,4.166666666666666,6.666666666666667,13.333333333333334,5.833333333333333,0.0,10.833333333333334,1.6666666666666667,1.6666666666666667,1.6666666666666667
PACA,1.7647058823529411,4.117647058823529,5.294117647058823,36.470588235294116,15.294117647058824,4.117647058823529,0.0,1.1764705882352942,3.5294117647058822,12.941176470588237,2.941176470588235,0.0,5.294117647058823,0.5882352941176471,0.0,6.470588235294119
Occitanie,1.0033444816053512,5.016722408026756,7.357859531772576,24.74916387959866,11.036789297658862,4.013377926421405,3.3444816053511706,2.6755852842809364,6.0200668896321075,7.357859531772576,11.705685618729097,0.6688963210702341,7.357859531772576,1.0033444816053512,0.33444816053511706,6.354515050167224
Ile de France,0.0,5.376344086021505,12.903225806451612,10.75268817204301,9.67741935483871,8.60215053763441,0.0,0.0,2.1505376344086025,8.60215053763441,7.526881720430108,0.0,7.526881720430108,5.376344086021505,0.0,21.50537634408602
Aquitaine,0.8130081300813009,6.300813008130081,10.365853658536585,21.747967479674795,14.43089430894309,4.2682926829268295,4.0650406504065035,3.048780487804878,5.08130081300813,7.113821138211382,7.113821138211382,0.6097560975609756,6.910569105691057,1.6260162601626018,1.8292682926829267,4.67479674796748
Pays de la Loire,0.7889546351084813,8.086785009861932,6.508875739644971,22.682445759368836,15.384615384615385,3.5502958579881656,2.366863905325444,3.155818540433925,2.9585798816568047,7.297830374753452,11.045364891518737,0.19723865877712032,9.270216962524655,1.183431952662722,1.7751479289940828,3.7475345167652856
Bretagne,0.0,0.0,25.0,5.0,5.0,10.0,15.0,10.0,0.0,0.0,10.0,0.0,15.0,0.0,5.0,0.0
Centre Val de Loire,0.0,7.352941176470589,14.705882352941178,14.705882352941178,8.823529411764707,4.411764705882353,4.411764705882353,10.294117647058822,4.411764705882353,5.88235294117647,1.4705882352941175,7.352941176470589,5.88235294117647,2.941176470588235,0.0,7.352941176470589
