,immigration,economie,securite,gouvernement,candidats,delinquance,environnement_cat_nat,environnement,europe,pouvoir_dachat,education,violence_aux_femmes,emploi,retraite,industrie,mobilite_transport
Normandie,0.0,6.451612903225806,9.67741935483871,26.881720430107524,11.827956989247312,5.376344086021505,6.451612903225806,4.301075268817205,1.0752688172043012,5.376344086021505,2.1505376344086025,0.0,7.526881720430108,3.225806451612903,0.0,9.67741935483871
Nord,0.0,5.3097345132743365,12.389380530973451,20.353982300884958,7.964601769911504,5.3097345132743365,5.3097345132743365,3.0973451327433628,6.1946902654867255,7.52212389380531,7.964601769911504,2.2123893805309733,6.637168141592921,3.982300884955752,2.2123893805309733,3.5398230088495577
Grand Est,0.8771929824561403,2.631578947368421,8.947368421052632,20.701754385964914,4.385964912280701,5.263157894736842,2.631578947368421,7.5438596491228065,9.649122807017543,10.87719298245614,7.5438596491228065,3.508771929824561,8.596491228070176,0.7017543859649122,0.3508771929824561,5.7894736842105265
Bourgogne,0.0,6.61764705882353,17.647058823529413,18.38235294117647,3.6764705882352944,3.6764705882352944,9.558823529411764,4.411764705882353,5.88235294117647,4.411764705882353,2.941176470588235,3.6764705882352944,11.76470588235294,2.2058823529411766,0.0,5.147058823529411
Auvergne,0.0,6.521739130434782,3.260869565217391,23.91304347826087,5.434782608695652,3.260869565217391,4.3478260869565215,7.608695652173914,9.782608695652174,15.217391304347828,4.3478260869565215,0.0,9.782608695652174,0.0,0.0,6.521739130434782
PACA,0.0,0.0,13.461538461538462,11.538461538461538,13.461538461538462,9.615384615384617,5.769230769230769,7.6923076923076925,0.0,11.538461538461538,1.9230769230769231,1.9230769230769231,11.538461538461538,0.0,0.0,11.538461538461538
Occitanie,0.6578947368421052,4.276315789473684,6.578947368421052,25.986842105263158,14.144736842105262,2.9605263157894735,3.9473684210526314,2.631578947368421,7.565789473684211,9.539473684210527,7.236842105263158,3.289473684210526,7.565789473684211,0.0,0.0,3.618421052631579
Ile de France,0.9345794392523363,3.7383177570093453,11.214953271028037,13.084112149532709,4.672897196261682,11.214953271028037,0.9345794392523363,1.8691588785046727,0.0,10.2803738317757,12.149532710280374,0.0,5.607476635514018,0.9345794392523363,1.8691588785046727,21.49532710280374
Aquitaine,0.2506265664160401,7.017543859649122,7.268170426065162,24.06015037593985,13.032581453634084,2.756892230576441,3.508771929824561,4.010025062656641,4.260651629072681,11.528822055137844,6.265664160401002,2.0050125313283207,10.025062656641603,1.7543859649122806,1.2531328320802004,1.0025062656641603
Pays de la Loire,0.20202020202020202,7.2727272727272725,4.848484848484849,20.80808080808081,16.363636363636363,3.4343434343434343,2.2222222222222223,5.454545454545454,1.2121212121212122,10.909090909090908,7.07070707070707,0.8080808080808081,10.909090909090908,2.4242424242424243,2.2222222222222223,3.8383838383838382
Bretagne,0.0,9.090909090909092,9.090909090909092,18.181818181818183,9.090909090909092,0.0,0.0,0.0,0.0,18.181818181818183,18.181818181818183,0.0,4.545454545454546,0.0,4.545454545454546,9.090909090909092
Centre Val de Loire,0.19723865877712032,7.495069033530571,5.9171597633136095,20.51282051282051,15.384615384615385,3.7475345167652856,2.1696252465483234,5.128205128205128,1.3806706114398422,10.256410256410255,6.903353057199212,0.7889546351084813,10.650887573964498,2.366863905325444,2.1696252465483234,4.930966469428008
