,immigration,economie,securite,gouvernement,candidats,delinquance,environnement_cat_nat,environnement,europe,pouvoir_dachat,education,violence_aux_femmes,emploi,retraite,industrie,mobilite_transport
Normandie,0.0,2.4096385542168677,12.048192771084338,13.253012048192772,27.710843373493976,3.614457831325301,1.2048192771084338,4.819277108433735,8.433734939759036,7.228915662650602,3.614457831325301,0.0,4.819277108433735,0.0,1.2048192771084338,9.63855421686747
Nord,0.0,4.932735426008969,13.004484304932735,21.076233183856502,12.556053811659194,4.932735426008969,2.690582959641256,3.587443946188341,4.932735426008969,6.726457399103139,5.381165919282512,0.4484304932735426,5.829596412556054,2.690582959641256,0.8968609865470852,10.31390134529148
Grand Est,0.8064516129032258,7.258064516129033,11.088709677419354,16.129032258064516,4.637096774193548,2.0161290322580645,2.4193548387096775,5.443548387096774,6.451612903225806,7.661290322580645,7.459677419354839,2.620967741935484,11.088709677419354,4.435483870967742,2.4193548387096775,8.064516129032258
Bourgogne,0.0,6.60377358490566,17.92452830188679,13.20754716981132,6.60377358490566,3.7735849056603774,3.7735849056603774,5.660377358490567,6.60377358490566,7.547169811320755,3.7735849056603774,5.660377358490567,2.8301886792452833,2.8301886792452833,3.7735849056603774,9.433962264150944
Auvergne,2.0408163265306123,5.1020408163265305,15.306122448979592,10.204081632653061,7.142857142857142,6.122448979591836,1.0204081632653061,4.081632653061225,12.244897959183673,6.122448979591836,1.0204081632653061,5.1020408163265305,7.142857142857142,2.0408163265306123,7.142857142857142,8.16326530612245
PACA,0.0,0.9433962264150944,14.150943396226415,25.471698113207548,10.377358490566039,4.716981132075472,3.7735849056603774,0.9433962264150944,0.9433962264150944,20.754716981132077,1.8867924528301887,0.9433962264150944,1.8867924528301887,0.0,0.0,13.20754716981132
Occitanie,0.6802721088435374,7.142857142857142,17.006802721088434,18.367346938775512,17.006802721088434,5.1020408163265305,2.380952380952381,1.3605442176870748,4.081632653061225,7.482993197278912,4.421768707482993,3.4013605442176873,5.1020408163265305,1.3605442176870748,1.3605442176870748,3.741496598639456
Ile de France,0.0,3.149606299212598,22.04724409448819,10.236220472440944,4.724409448818897,13.385826771653544,3.149606299212598,1.574803149606299,0.7874015748031495,7.086614173228346,5.511811023622047,0.0,6.299212598425196,2.3622047244094486,1.574803149606299,18.11023622047244
Aquitaine,0.23094688221709006,3.9260969976905313,11.778290993071593,24.71131639722864,14.780600461893764,4.849884526558892,1.3856812933025404,2.5404157043879905,4.849884526558892,7.852193995381063,4.387990762124711,2.3094688221709005,7.621247113163972,2.771362586605081,0.4618937644341801,5.542725173210162
Pays de la Loire,0.8438818565400843,4.852320675105485,8.860759493670885,18.354430379746837,6.962025316455696,5.485232067510549,1.0548523206751055,5.274261603375527,1.4767932489451476,10.126582278481013,7.805907172995781,0.8438818565400843,13.291139240506327,2.320675105485232,2.9535864978902953,9.49367088607595
Bretagne,8.695652173913043,0.0,0.0,8.695652173913043,8.695652173913043,0.0,0.0,17.391304347826086,0.0,8.695652173913043,0.0,0.0,43.47826086956522,4.3478260869565215,0.0,0.0
Centre Val de Loire,1.5267175572519083,6.106870229007633,16.030534351145036,12.213740458015266,7.633587786259542,5.343511450381679,2.2900763358778624,3.816793893129771,9.16030534351145,5.343511450381679,1.5267175572519083,3.816793893129771,6.106870229007633,3.816793893129771,5.343511450381679,9.923664122137405
